target_day,policy,issue_time_utc,runtime_model,future_workload,H24,service_level,historical_cap_quantile,cap_rule,A0_reserve_interface_version,A1_reserve_interface_version,snapshot_path,snapshot_hash,snapshot_status,snapshot_shared_by_all_policies,production_q_seconds,PF,Q_control,mode,scientific_persistence_schema,DA_slots,Actual_slots,H4_windows,complete_scientific_persistence,result_path,log_path,status
2025-05-01,B0,2025-04-30T08:00:00+00:00,ROLLING_Q90_TRACK_P_L2,H4_R85_B2,OFF,0.85,0.99,"min(raw,historical,physical)",V41,V41,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\inputs\2025-05-01\V41_ML_SNAPSHOT_2025-05-01.json,e4f2134828bc0521af04f2982af2642e681447f34c83261713c314bbe617a096,SEALED,True,5576.44921875,0.95,NO,both,V41_COMPLETE_SCIENTIFIC_PERSISTENCE_V1,96,96,81,True,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\2025-05-01\B0,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\logs\v41_may_campaign\2025-05-01\B0,PASS
2025-05-01,B1,2025-04-30T08:00:00+00:00,ROLLING_Q90_TRACK_P_L2,H4_R85_B2,OFF,0.85,0.99,"min(raw,historical,physical)",V41,V41,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\inputs\2025-05-01\V41_ML_SNAPSHOT_2025-05-01.json,e4f2134828bc0521af04f2982af2642e681447f34c83261713c314bbe617a096,SEALED,True,5576.44921875,0.95,NO,both,V41_COMPLETE_SCIENTIFIC_PERSISTENCE_V1,96,96,81,True,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\2025-05-01\B1,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\logs\v41_may_campaign\2025-05-01\B1,PASS
2025-05-01,B2,2025-04-30T08:00:00+00:00,ROLLING_Q90_TRACK_P_L2,H4_R85_B2,OFF,0.85,0.99,"min(raw,historical,physical)",V41,V41,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\inputs\2025-05-01\V41_ML_SNAPSHOT_2025-05-01.json,e4f2134828bc0521af04f2982af2642e681447f34c83261713c314bbe617a096,SEALED,True,5576.44921875,0.95,NO,both,V41_COMPLETE_SCIENTIFIC_PERSISTENCE_V1,96,96,81,True,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\2025-05-01\B2,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\logs\v41_may_campaign\2025-05-01\B2,PASS
2025-05-01,B3,2025-04-30T08:00:00+00:00,ROLLING_Q90_TRACK_P_L2,H4_R85_B2,OFF,0.85,0.99,"min(raw,historical,physical)",V41,V41,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\inputs\2025-05-01\V41_ML_SNAPSHOT_2025-05-01.json,e4f2134828bc0521af04f2982af2642e681447f34c83261713c314bbe617a096,SEALED,True,5576.44921875,0.95,NO,both,V41_COMPLETE_SCIENTIFIC_PERSISTENCE_V1,96,96,81,True,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\2025-05-01\B3,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\logs\v41_may_campaign\2025-05-01\B3,PASS
2025-05-02,B0,2025-05-01T08:00:00+00:00,ROLLING_Q90_TRACK_P_L2,H4_R85_B2,OFF,0.85,0.99,"min(raw,historical,physical)",V41,V41,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\inputs\2025-05-02\V41_ML_SNAPSHOT_2025-05-02.json,,CAUSAL_GENERATION_BEFORE_SOLVE,True,5576.44921875,0.95,NO,both,V41_COMPLETE_SCIENTIFIC_PERSISTENCE_V1,96,96,81,True,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\2025-05-02\B0,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\logs\v41_may_campaign\2025-05-02\B0,PASS
2025-05-02,B1,2025-05-01T08:00:00+00:00,ROLLING_Q90_TRACK_P_L2,H4_R85_B2,OFF,0.85,0.99,"min(raw,historical,physical)",V41,V41,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\inputs\2025-05-02\V41_ML_SNAPSHOT_2025-05-02.json,,CAUSAL_GENERATION_BEFORE_SOLVE,True,5576.44921875,0.95,NO,both,V41_COMPLETE_SCIENTIFIC_PERSISTENCE_V1,96,96,81,True,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\2025-05-02\B1,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\logs\v41_may_campaign\2025-05-02\B1,PASS
2025-05-02,B2,2025-05-01T08:00:00+00:00,ROLLING_Q90_TRACK_P_L2,H4_R85_B2,OFF,0.85,0.99,"min(raw,historical,physical)",V41,V41,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\inputs\2025-05-02\V41_ML_SNAPSHOT_2025-05-02.json,,CAUSAL_GENERATION_BEFORE_SOLVE,True,5576.44921875,0.95,NO,both,V41_COMPLETE_SCIENTIFIC_PERSISTENCE_V1,96,96,81,True,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\2025-05-02\B2,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\logs\v41_may_campaign\2025-05-02\B2,PASS
2025-05-02,B3,2025-05-01T08:00:00+00:00,ROLLING_Q90_TRACK_P_L2,H4_R85_B2,OFF,0.85,0.99,"min(raw,historical,physical)",V41,V41,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\inputs\2025-05-02\V41_ML_SNAPSHOT_2025-05-02.json,,CAUSAL_GENERATION_BEFORE_SOLVE,True,5576.44921875,0.95,NO,both,V41_COMPLETE_SCIENTIFIC_PERSISTENCE_V1,96,96,81,True,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\2025-05-02\B3,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\logs\v41_may_campaign\2025-05-02\B3,PASS
2025-05-03,B0,2025-05-02T08:00:00+00:00,ROLLING_Q90_TRACK_P_L2,H4_R85_B2,OFF,0.85,0.99,"min(raw,historical,physical)",V41,V41,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\inputs\2025-05-03\V41_ML_SNAPSHOT_2025-05-03.json,,CAUSAL_GENERATION_BEFORE_SOLVE,True,5576.44921875,0.95,NO,both,V41_COMPLETE_SCIENTIFIC_PERSISTENCE_V1,96,96,81,True,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\2025-05-03\B0,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\logs\v41_may_campaign\2025-05-03\B0,PASS
2025-05-03,B1,2025-05-02T08:00:00+00:00,ROLLING_Q90_TRACK_P_L2,H4_R85_B2,OFF,0.85,0.99,"min(raw,historical,physical)",V41,V41,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\inputs\2025-05-03\V41_ML_SNAPSHOT_2025-05-03.json,,CAUSAL_GENERATION_BEFORE_SOLVE,True,5576.44921875,0.95,NO,both,V41_COMPLETE_SCIENTIFIC_PERSISTENCE_V1,96,96,81,True,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\2025-05-03\B1,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\logs\v41_may_campaign\2025-05-03\B1,PASS
2025-05-03,B2,2025-05-02T08:00:00+00:00,ROLLING_Q90_TRACK_P_L2,H4_R85_B2,OFF,0.85,0.99,"min(raw,historical,physical)",V41,V41,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\inputs\2025-05-03\V41_ML_SNAPSHOT_2025-05-03.json,,CAUSAL_GENERATION_BEFORE_SOLVE,True,5576.44921875,0.95,NO,both,V41_COMPLETE_SCIENTIFIC_PERSISTENCE_V1,96,96,81,True,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\2025-05-03\B2,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\logs\v41_may_campaign\2025-05-03\B2,PASS
2025-05-03,B3,2025-05-02T08:00:00+00:00,ROLLING_Q90_TRACK_P_L2,H4_R85_B2,OFF,0.85,0.99,"min(raw,historical,physical)",V41,V41,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\inputs\2025-05-03\V41_ML_SNAPSHOT_2025-05-03.json,,CAUSAL_GENERATION_BEFORE_SOLVE,True,5576.44921875,0.95,NO,both,V41_COMPLETE_SCIENTIFIC_PERSISTENCE_V1,96,96,81,True,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\2025-05-03\B3,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\logs\v41_may_campaign\2025-05-03\B3,PASS
2025-05-04,B0,2025-05-03T08:00:00+00:00,ROLLING_Q90_TRACK_P_L2,H4_R85_B2,OFF,0.85,0.99,"min(raw,historical,physical)",V41,V41,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\inputs\2025-05-04\V41_ML_SNAPSHOT_2025-05-04.json,,CAUSAL_GENERATION_BEFORE_SOLVE,True,5576.44921875,0.95,NO,both,V41_COMPLETE_SCIENTIFIC_PERSISTENCE_V1,96,96,81,True,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\2025-05-04\B0,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\logs\v41_may_campaign\2025-05-04\B0,PASS
2025-05-04,B1,2025-05-03T08:00:00+00:00,ROLLING_Q90_TRACK_P_L2,H4_R85_B2,OFF,0.85,0.99,"min(raw,historical,physical)",V41,V41,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\inputs\2025-05-04\V41_ML_SNAPSHOT_2025-05-04.json,,CAUSAL_GENERATION_BEFORE_SOLVE,True,5576.44921875,0.95,NO,both,V41_COMPLETE_SCIENTIFIC_PERSISTENCE_V1,96,96,81,True,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\2025-05-04\B1,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\logs\v41_may_campaign\2025-05-04\B1,PASS
2025-05-04,B2,2025-05-03T08:00:00+00:00,ROLLING_Q90_TRACK_P_L2,H4_R85_B2,OFF,0.85,0.99,"min(raw,historical,physical)",V41,V41,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\inputs\2025-05-04\V41_ML_SNAPSHOT_2025-05-04.json,,CAUSAL_GENERATION_BEFORE_SOLVE,True,5576.44921875,0.95,NO,both,V41_COMPLETE_SCIENTIFIC_PERSISTENCE_V1,96,96,81,True,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\2025-05-04\B2,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\logs\v41_may_campaign\2025-05-04\B2,PASS
2025-05-04,B3,2025-05-03T08:00:00+00:00,ROLLING_Q90_TRACK_P_L2,H4_R85_B2,OFF,0.85,0.99,"min(raw,historical,physical)",V41,V41,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\inputs\2025-05-04\V41_ML_SNAPSHOT_2025-05-04.json,,CAUSAL_GENERATION_BEFORE_SOLVE,True,5576.44921875,0.95,NO,both,V41_COMPLETE_SCIENTIFIC_PERSISTENCE_V1,96,96,81,True,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\2025-05-04\B3,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\logs\v41_may_campaign\2025-05-04\B3,PASS
2025-05-05,B0,2025-05-04T08:00:00+00:00,ROLLING_Q90_TRACK_P_L2,H4_R85_B2,OFF,0.85,0.99,"min(raw,historical,physical)",V41,V41,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\inputs\2025-05-05\V41_ML_SNAPSHOT_2025-05-05.json,,CAUSAL_GENERATION_BEFORE_SOLVE,True,5576.44921875,0.95,NO,both,V41_COMPLETE_SCIENTIFIC_PERSISTENCE_V1,96,96,81,True,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\2025-05-05\B0,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\logs\v41_may_campaign\2025-05-05\B0,PASS
2025-05-05,B1,2025-05-04T08:00:00+00:00,ROLLING_Q90_TRACK_P_L2,H4_R85_B2,OFF,0.85,0.99,"min(raw,historical,physical)",V41,V41,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\inputs\2025-05-05\V41_ML_SNAPSHOT_2025-05-05.json,,CAUSAL_GENERATION_BEFORE_SOLVE,True,5576.44921875,0.95,NO,both,V41_COMPLETE_SCIENTIFIC_PERSISTENCE_V1,96,96,81,True,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\2025-05-05\B1,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\logs\v41_may_campaign\2025-05-05\B1,PASS
2025-05-05,B2,2025-05-04T08:00:00+00:00,ROLLING_Q90_TRACK_P_L2,H4_R85_B2,OFF,0.85,0.99,"min(raw,historical,physical)",V41,V41,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\inputs\2025-05-05\V41_ML_SNAPSHOT_2025-05-05.json,,CAUSAL_GENERATION_BEFORE_SOLVE,True,5576.44921875,0.95,NO,both,V41_COMPLETE_SCIENTIFIC_PERSISTENCE_V1,96,96,81,True,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\2025-05-05\B2,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\logs\v41_may_campaign\2025-05-05\B2,PASS
2025-05-05,B3,2025-05-04T08:00:00+00:00,ROLLING_Q90_TRACK_P_L2,H4_R85_B2,OFF,0.85,0.99,"min(raw,historical,physical)",V41,V41,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\inputs\2025-05-05\V41_ML_SNAPSHOT_2025-05-05.json,,CAUSAL_GENERATION_BEFORE_SOLVE,True,5576.44921875,0.95,NO,both,V41_COMPLETE_SCIENTIFIC_PERSISTENCE_V1,96,96,81,True,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\2025-05-05\B3,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\logs\v41_may_campaign\2025-05-05\B3,PASS
2025-05-06,B0,2025-05-05T08:00:00+00:00,ROLLING_Q90_TRACK_P_L2,H4_R85_B2,OFF,0.85,0.99,"min(raw,historical,physical)",V41,V41,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\inputs\2025-05-06\V41_ML_SNAPSHOT_2025-05-06.json,,CAUSAL_GENERATION_BEFORE_SOLVE,True,5576.44921875,0.95,NO,both,V41_COMPLETE_SCIENTIFIC_PERSISTENCE_V1,96,96,81,True,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\2025-05-06\B0,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\logs\v41_may_campaign\2025-05-06\B0,PASS
2025-05-06,B1,2025-05-05T08:00:00+00:00,ROLLING_Q90_TRACK_P_L2,H4_R85_B2,OFF,0.85,0.99,"min(raw,historical,physical)",V41,V41,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\inputs\2025-05-06\V41_ML_SNAPSHOT_2025-05-06.json,,CAUSAL_GENERATION_BEFORE_SOLVE,True,5576.44921875,0.95,NO,both,V41_COMPLETE_SCIENTIFIC_PERSISTENCE_V1,96,96,81,True,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\2025-05-06\B1,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\logs\v41_may_campaign\2025-05-06\B1,PASS
2025-05-06,B2,2025-05-05T08:00:00+00:00,ROLLING_Q90_TRACK_P_L2,H4_R85_B2,OFF,0.85,0.99,"min(raw,historical,physical)",V41,V41,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\inputs\2025-05-06\V41_ML_SNAPSHOT_2025-05-06.json,,CAUSAL_GENERATION_BEFORE_SOLVE,True,5576.44921875,0.95,NO,both,V41_COMPLETE_SCIENTIFIC_PERSISTENCE_V1,96,96,81,True,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\frozen_artifacts\v41r1_migration\2025-05-06\B2,C:\codex_mobileess_workspace\MobileESS_v41r1_premay_voltage_security_margin\logs\v41_may_campaign\2025-05-06\B2,PASS
