operating_day,status,D_minus_1_AEMO_demand,D_minus_1_rooftop_PV,D_minus_1_GFS,per_day_Kestrel_snapshot,RW_schedule,RSP_schedule,reference_home_mapping,AIDC_GPU_capacity,pending_spatial_candidate_materialization,running_migration_candidate_materialization,checkpoint_eligibility,WAN_capacity_path_latency,WAN_15min_adapter,Rack_oracle_loader,DayAhead_Rack_assignment,site_power_mapping,C1_PCC_PQ,traffic_288x509x3,route_table_24_service,Safe_ETA,D1_electrical_authority,Fresh_context,V17_R5_restoration_loader,V38_fingerprint,blocker,missing_files
2025-05-15,NOT_READY,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_INFEASIBLE,PASS,BLOCKED,BLOCKED,BLOCKED,PASS,PASS,PASS,BLOCKED,BLOCKED,BLOCKED,PASS,PASS,PASS,FAIL_SHA_MISMATCH,BLOCKED,PASS,INCOMPLETE_BLOCKED,V38_HOME_MAPPING_GLOBAL_CAPACITY_INFEASIBLE,
2025-05-16,NOT_READY,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_INFEASIBLE,PASS,BLOCKED,BLOCKED,BLOCKED,PASS,PASS,PASS,BLOCKED,BLOCKED,BLOCKED,PASS,PASS,PASS,FAIL_SHA_MISMATCH,BLOCKED,PASS,INCOMPLETE_BLOCKED,V38_HOME_MAPPING_GLOBAL_CAPACITY_INFEASIBLE,
2025-05-17,NOT_READY,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_INFEASIBLE,PASS,BLOCKED,BLOCKED,BLOCKED,PASS,PASS,PASS,BLOCKED,BLOCKED,BLOCKED,PASS,PASS,PASS,FAIL_SHA_MISMATCH,BLOCKED,PASS,INCOMPLETE_BLOCKED,V38_HOME_MAPPING_GLOBAL_CAPACITY_INFEASIBLE,
2025-05-18,NOT_READY,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_INFEASIBLE,PASS,BLOCKED,BLOCKED,BLOCKED,PASS,PASS,PASS,BLOCKED,BLOCKED,BLOCKED,PASS,PASS,PASS,FAIL_SHA_MISMATCH,BLOCKED,PASS,INCOMPLETE_BLOCKED,V38_HOME_MAPPING_GLOBAL_CAPACITY_INFEASIBLE,
2025-05-19,NOT_READY,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_INFEASIBLE,PASS,BLOCKED,BLOCKED,BLOCKED,PASS,PASS,PASS,BLOCKED,BLOCKED,BLOCKED,PASS,PASS,PASS,FAIL_SHA_MISMATCH,BLOCKED,PASS,INCOMPLETE_BLOCKED,V38_HOME_MAPPING_GLOBAL_CAPACITY_INFEASIBLE,
2025-05-20,NOT_READY,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_INFEASIBLE,PASS,BLOCKED,BLOCKED,BLOCKED,PASS,PASS,PASS,BLOCKED,BLOCKED,BLOCKED,PASS,PASS,PASS,FAIL_SHA_MISMATCH,BLOCKED,PASS,INCOMPLETE_BLOCKED,V38_HOME_MAPPING_GLOBAL_CAPACITY_INFEASIBLE,
2025-05-21,NOT_READY,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_INFEASIBLE,PASS,BLOCKED,BLOCKED,BLOCKED,PASS,PASS,PASS,BLOCKED,BLOCKED,BLOCKED,PASS,PASS,PASS,FAIL_SHA_MISMATCH,BLOCKED,PASS,INCOMPLETE_BLOCKED,V38_HOME_MAPPING_GLOBAL_CAPACITY_INFEASIBLE,
2025-05-22,NOT_READY,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_INFEASIBLE,PASS,BLOCKED,BLOCKED,BLOCKED,PASS,PASS,PASS,BLOCKED,BLOCKED,BLOCKED,PASS,PASS,PASS,FAIL_SHA_MISMATCH,BLOCKED,PASS,INCOMPLETE_BLOCKED,V38_HOME_MAPPING_GLOBAL_CAPACITY_INFEASIBLE,
2025-05-23,NOT_READY,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_INFEASIBLE,PASS,BLOCKED,BLOCKED,BLOCKED,PASS,PASS,PASS,BLOCKED,BLOCKED,BLOCKED,PASS,PASS,PASS,FAIL_SHA_MISMATCH,BLOCKED,PASS,INCOMPLETE_BLOCKED,V38_HOME_MAPPING_GLOBAL_CAPACITY_INFEASIBLE,
2025-05-24,NOT_READY,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_INFEASIBLE,PASS,BLOCKED,BLOCKED,BLOCKED,PASS,PASS,PASS,BLOCKED,BLOCKED,BLOCKED,PASS,PASS,PASS,FAIL_SHA_MISMATCH,BLOCKED,PASS,INCOMPLETE_BLOCKED,V38_HOME_MAPPING_GLOBAL_CAPACITY_INFEASIBLE,
2025-05-25,NOT_READY,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_INFEASIBLE,PASS,BLOCKED,BLOCKED,BLOCKED,PASS,PASS,PASS,BLOCKED,BLOCKED,BLOCKED,PASS,PASS,PASS,FAIL_SHA_MISMATCH,BLOCKED,PASS,INCOMPLETE_BLOCKED,V38_HOME_MAPPING_GLOBAL_CAPACITY_INFEASIBLE,
2025-05-26,NOT_READY,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_INFEASIBLE,PASS,BLOCKED,BLOCKED,BLOCKED,PASS,PASS,PASS,BLOCKED,BLOCKED,BLOCKED,PASS,PASS,PASS,FAIL_SHA_MISMATCH,BLOCKED,PASS,INCOMPLETE_BLOCKED,V38_HOME_MAPPING_GLOBAL_CAPACITY_INFEASIBLE,
2025-05-27,NOT_READY,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_INFEASIBLE,PASS,BLOCKED,BLOCKED,BLOCKED,PASS,PASS,PASS,BLOCKED,BLOCKED,BLOCKED,PASS,PASS,PASS,FAIL_SHA_MISMATCH,BLOCKED,PASS,INCOMPLETE_BLOCKED,V38_HOME_MAPPING_GLOBAL_CAPACITY_INFEASIBLE,
2025-05-28,NOT_READY,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_INFEASIBLE,PASS,BLOCKED,BLOCKED,BLOCKED,PASS,PASS,PASS,BLOCKED,BLOCKED,BLOCKED,PASS,PASS,PASS,FAIL_SHA_MISMATCH,BLOCKED,PASS,INCOMPLETE_BLOCKED,V38_HOME_MAPPING_GLOBAL_CAPACITY_INFEASIBLE,
2025-05-29,NOT_READY,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_INFEASIBLE,PASS,BLOCKED,BLOCKED,BLOCKED,PASS,PASS,PASS,BLOCKED,BLOCKED,BLOCKED,PASS,PASS,PASS,FAIL_SHA_MISMATCH,BLOCKED,PASS,INCOMPLETE_BLOCKED,V38_HOME_MAPPING_GLOBAL_CAPACITY_INFEASIBLE,
2025-05-30,NOT_READY,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_INFEASIBLE,PASS,BLOCKED,BLOCKED,BLOCKED,PASS,PASS,PASS,BLOCKED,BLOCKED,BLOCKED,PASS,PASS,PASS,FAIL_SHA_MISMATCH,BLOCKED,PASS,INCOMPLETE_BLOCKED,V38_HOME_MAPPING_GLOBAL_CAPACITY_INFEASIBLE,
2025-05-31,NOT_READY,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_INFEASIBLE,PASS,BLOCKED,BLOCKED,BLOCKED,PASS,PASS,PASS,BLOCKED,BLOCKED,BLOCKED,PASS,PASS,PASS,FAIL_SHA_MISMATCH,BLOCKED,PASS,INCOMPLETE_BLOCKED,V38_HOME_MAPPING_GLOBAL_CAPACITY_INFEASIBLE,
